Three per Foot
Custom
HailActor "Diviner De'Voch" 5
-976.383484 -67.810745 -985.480774
-964.619202 -68.264015 -984.155701
-954.604858 -69.910233 -983.040710
-946.589905 -71.009789 -982.148376
-945.789978 -72.028008 -992.442078
-945.450623 -73.581451 -1002.136047
-935.378906 -75.306175 -1002.767700
-929.831482 -76.613213 -994.332275
-926.396179 -78.649475 -985.096863
-922.954956 -80.283875 -975.843689
-922.278381 -81.502480 -965.719238
-923.617737 -83.471458 -955.790405
-924.923035 -86.092171 -946.113098
-925.901733 -88.504387 -936.404846
-925.698975 -89.970024 -926.424866
-925.430847 -91.364746 -916.391663
-925.160767 -92.128685 -906.286133
-924.885925 -92.839340 -895.998901
-924.618225 -93.545189 -885.983948
-924.342834 -94.512581 -875.678528
-924.076172 -96.053482 -865.699646
-923.808533 -97.881943 -855.684570
-923.544861 -100.034668 -845.814636
-922.023315 -102.324127 -835.848999
-919.279480 -104.324669 -826.401978
-916.525513 -106.908737 -816.920044
-913.776489 -109.405342 -807.455444
-910.699524 -111.675003 -798.024841
-904.203674 -112.702248 -790.212463
-898.058716 -113.686661 -782.095581
-892.310120 -114.406647 -773.870667
Custom
PathKill 108 35 35 1 1 1 "a dreaded stonegazer" "I have enough dreaded stonegazer feet for Diviner De'Voch to harvest the toes from" 1
-888.810242 -114.974327 -767.843811
-884.023865 -115.431786 -759.008728
-879.471375 -115.991661 -750.009521
-877.643677 -116.487717 -739.995117
-876.528320 -116.889534 -729.667175
-875.091675 -117.218315 -719.368286
-876.265564 -117.347046 -709.348999
-885.351746 -116.691124 -704.492493
-894.658936 -115.959373 -700.298767
-904.128967 -115.029930 -696.607971
-913.560852 -114.093216 -692.968567
-922.849426 -113.155090 -689.257446
-931.745422 -112.217155 -684.418640
-940.575378 -111.353088 -679.410522
-949.302063 -110.680901 -673.935486
-957.276367 -109.971237 -667.679565
-957.432739 -109.774879 -657.478516
-957.544373 -109.608757 -647.245361
-957.479858 -109.788727 -637.100525
-956.464172 -110.160889 -627.025085
-955.792114 -110.423111 -616.951477
-958.086487 -110.522041 -607.133423
-960.516174 -110.177834 -597.186890
-963.000793 -109.591118 -587.388000
-965.695129 -108.216774 -577.719177
-968.317627 -105.848015 -568.313293
-961.351135 -105.445709 -560.941772
-951.390259 -107.099686 -561.551025
-941.653076 -108.263802 -563.823792
-931.643677 -109.306046 -566.214355
-922.939331 -110.318108 -571.049988
-915.480286 -111.889923 -577.628174
-907.906067 -113.463013 -584.096802
-900.102356 -114.700493 -590.665527
-892.409424 -116.436272 -597.140442
-884.757324 -117.454956 -603.773499
-877.270630 -118.256401 -610.458496
-869.942993 -118.949257 -617.318848
-862.836487 -119.556541 -624.607788
-855.834595 -120.221329 -631.791687
-848.854553 -120.766365 -638.953003
-841.848938 -121.033165 -646.140381
-837.396118 -121.982681 -637.150208
-834.350586 -122.910309 -627.552368
-831.278381 -123.734001 -617.826233
-829.155334 -124.067467 -607.718384
-827.600525 -123.960823 -597.490112
-833.430298 -122.963867 -589.409485
-839.115540 -121.798965 -581.154907
-842.676819 -120.719902 -571.799744
-845.596497 -119.468765 -562.121521
-848.350830 -118.077560 -552.488953
-850.869446 -116.455742 -542.885498
-853.452026 -114.695534 -533.017456
-856.025635 -112.909988 -523.184570
-858.732666 -111.147446 -513.578613
-861.883301 -109.253937 -504.068237
-864.731262 -106.641747 -494.519562
-867.555908 -104.703293 -484.982788
-868.227966 -102.013512 -475.291840
-860.495422 -101.401848 -468.878357
-852.463135 -100.799332 -462.582306
-843.142944 -101.309555 -458.068604
